Province,Subregion,Species,ModelName,ParName,ParVal,Reference
ON,ALL,PICEMAR,Honer,r1,0.9526,Honer83
ON,ALL,PICEMAR,Honer,r2,-0.1027,Honer83
ON,ALL,PICEMAR,Honer,r3,-0.8199,Honer83
ON,ALL,PICEGLA,Honer,b2a,0.176,Honer83
ON,ALL,PICEGLA,Honer,c1,1.44,Honer83
ON,ALL,PICEGLA,Honer,c2,342.175,Honer83
ON,ALL,PICEGLA,Honer,b2b,0.176,Honer83
ON,ALL,PICEGLA,Honer,r1,0.9611,Honer83
ON,ALL,PICEGLA,Honer,r2,-0.2456,Honer83
ON,ALL,PICEGLA,Honer,r3,-0.6801,Honer83
ON,ALL,ABIEBAL,Honer,b2a,0.152,Honer83
ON,ALL,ABIEBAL,Honer,c1,2.139,Honer83
ON,ALL,ABIEBAL,Honer,c2,301.634,Honer83
ON,ALL,ABIEBAL,Honer,b2b,0.152,Honer83
ON,ALL,ABIEBAL,Honer,r1,0.9352,Honer83
ON,ALL,ABIEBAL,Honer,r2,-0.0395,Honer83
ON,ALL,ABIEBAL,Honer,r3,-0.8147,Honer83
ON,ALL,PINURES,Honer,b2,0.151,Honer83
ON,ALL,PINURES,Honer,b3,0.196,Honer83
ON,ALL,PINURES,Honer,b4,0.913,Honer83
ON,ALL,PINURES,Honer,b5,0.148,Honer83
ON,ALL,PINUBAN,Honer,b2,0.151,Honer83
ON,ALL,PINUBAN,Honer,b3,-0.455,Honer83
ON,ALL,PINUBAN,Honer,b4,0.961,Honer83
ON,ALL,PINUBAN,Honer,b5,0.118,Honer83
ON,ALL,PICEMAR,Honer,b2,0.164,Honer83
ON,ALL,PICEMAR,Honer,b3,-0.478,Honer83
ON,ALL,PICEMAR,Honer,b4,0.965,Honer83
ON,ALL,PICEMAR,Honer,b5,0.168,Honer83
ON,ALL,PICEGLA,Honer,b2,0.176,Honer83
ON,ALL,PICEGLA,Honer,b3,-0.843,Honer83
ON,ALL,PICEGLA,Honer,b4,0.984,Honer83
ON,ALL,PICEGLA,Honer,b5,0.19,Honer83
ON,ALL,ABIEBAL,Honer,b2,0.152,Honer83
ON,ALL,ABIEBAL,Honer,b3,-0.333,Honer83
ON,ALL,ABIEBAL,Honer,b4,0.962,Honer83
ON,ALL,ABIEBAL,Honer,b5,0.127,Honer83
AB,ALL,POPUTRE,Kozak88,a0,0.790406,Huang
AB,ALL,POPUTRE,Kozak88,a1,1.026943,Huang
AB,ALL,POPUTRE,Kozak88,a2,0.997524,Huang
AB,ALL,POPUTRE,Kozak88,b1,0.600584,Huang
AB,ALL,POPUTRE,Kozak88,b2,-0.065681,Huang
AB,ALL,POPUTRE,Kozak88,b3,-0.173812,Huang
