juris_id,ecozone,canfi_genus,genus,prop1,prop2,prop3,prop4,prop5,v1,v2,v3,v4
NU,8,150,NEMO,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,151,RHUS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,152,SORB,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,153,VIBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,154,CAST,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,8,155,ASIM,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,1,PICE,0.0774,0.0746,0.1914,0.0584,0.0536,14.4,29.4,49.1,85.8
NU,9,2,PINU,0.0285,0.0430,0.1390,0.0215,0.0170,28.0,65.8,109.5,167.3
NU,9,3,ABIE,0.0810,0.0460,0.0290,0.0350,0.0330,48.0,84.5,117.0,163.5
NU,9,6,LARI,0.0000,0.0980,0.0200,0.0180,0.0350,10.5,25.0,49.5,101.5
NU,9,8,GENC,0.0990,0.0665,0.2400,0.0695,0.0485,12.0,26.3,48.5,95.3
NU,9,9,POPU,0.0380,0.0270,0.0290,0.0220,0.0090,68.5,120.5,169.5,244.5
NU,9,10,BETU,0.0840,0.0430,0.0290,0.0200,0.0130,48.0,86.0,121.5,172.5
NU,9,12,GENH,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,121,CARY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,122,JUGL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,123,ALNU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,124,OSTR,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,125,CARP,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,126,FAGU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,127,QUER,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,128,ULMU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,129,MORU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,130,LIRI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,131,MAGN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,132,SASS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,133,PLAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,134,PRUN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,135,GLED,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,136,ROBI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,137,TILI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,138,NYSS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,139,CORN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,140,ARBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,141,FRAX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,142,SALI,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,143,GYMN,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,144,CELT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,145,AMEL,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,146,CORY,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,147,CRAT,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,148,ILEX,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,149,MALU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,150,NEMO,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,151,RHUS,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,152,SORB,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,153,VIBU,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,154,CAST,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,9,155,ASIM,0.0950,0.0660,0.0260,0.0230,0.0110,50.0,105.5,155.5,207.5
NU,10,1,PICE,0.0774,0.0746,0.1914,0.0584,0.0536,14.4,29.4,49.1,85.8
NU,10,2,PINU,0.0285,0.0430,0.1390,0.0215,0.0170,28.0,65.8,109.5,167.3
NU,10,3,ABIE,0.0810,0.0460,0.0290,0.0350,0.0330,48.0,84.5,117.0,163.5
NU,10,6,LARI,0.0000,0.0980,0.0200,0.0180,0.0350,10.5,25.0,49.5,101.5
