"species","model","parameter","estimate","stderr"
"ABIE.AMA","DBH","bbark1",0.0057,0.0015
"ABIE.AMA","DBH","bbark2",2.4786,0.0922
"ABIE.AMA","DBH","bbranches1",0.0322,0.0098
"ABIE.AMA","DBH","bbranches2",2.1313,0.0944
"ABIE.AMA","DBH","bfoliage1",0.0645,0.0105
"ABIE.AMA","DBH","bfoliage2",1.94,0.0611
"ALNU.RUB","DBH","bwood1",0.046,0.0137
"ALNU.RUB","DBH","bwood2",2.4312,0.1056
"ALNU.RUB","DBH","bbark1",0.0074,0.0024
"ALNU.RUB","DBH","bbark2",2.4442,0.1119
"ALNU.RUB","DBH","bbranches1",0.0086,0.0039
"ALNU.RUB","DBH","bbranches2",2.7326,0.1424
"ALNU.RUB","DBH","bfoliage1",0.0114,0.0061
"ALNU.RUB","DBH","bfoliage2",2.086,0.1819
"PICE.SIT","DBH","bwood1",0.0302,0.0048
"PICE.SIT","DBH","bwood2",2.5776,0.0493
"PICE.SIT","DBH","bbark1",0.0066,0.0043
"PICE.SIT","DBH","bbark2",2.4433,0.2
"PICE.SIT","DBH","bbranches1",0.0739,0.0267
"PICE.SIT","DBH","bbranches2",1.8342,0.1319
"PICE.SIT","DBH","bfoliage1",0.0157,0.0048
"PICE.SIT","DBH","bfoliage2",2.3113,0.1136
"TSUG.HET","DBH","bwood1",0.0141,0.0028
"TSUG.HET","DBH","bwood2",2.8668,0.0696
"TSUG.HET","DBH","bbark1",0.0025,4e-04
"TSUG.HET","DBH","bbark2",2.8062,0.0555
"TSUG.HET","DBH","bbranches1",0.0703,0.0115
"TSUG.HET","DBH","bbranches2",1.9547,0.0653
"TSUG.HET","DBH","bfoliage1",0.1676,0.0298
"TSUG.HET","DBH","bfoliage2",1.4339,0.0572
"THUJ.PLI","DBH","bwood1",0.0111,0.0016
"THUJ.PLI","DBH","bwood2",2.8027,0.0438
"THUJ.PLI","DBH","bbark1",3e-04,1e-04
"THUJ.PLI","DBH","bbark2",3.2721,0.077
"THUJ.PLI","DBH","bbranches1",0.1158,0.0329
"THUJ.PLI","DBH","bbranches2",1.7196,0.0863
"THUJ.PLI","DBH","bfoliage1",0.1233,0.0524
"THUJ.PLI","DBH","bfoliage2",1.5152,0.1346
